index,time
25573,1685156571905
25576,1685156571906
25578,1685156571908
25580,1685156571912
25582,1685156571915
25583,1685156571916
25586,1685156571917
25588,1685156571919
25590,1685156571922
25592,1685156571948
25594,1685156571950
25595,1685156571950
25597,1685156571951
25600,1685156571952
25602,1685156571956
25604,1685156571957
25606,1685156571971
25608,1685156571973
25610,1685156571973
25612,1685156571977
25614,1685156571981
25616,1685156571989
25618,1685156571996
25620,1685156571997
25622,1685156571999
25624,1685156572003
25626,1685156572005
25628,1685156572006
25630,1685156572011
25632,1685156572013
25634,1685156572016
25636,1685156572016
25638,1685156572021
25639,1685156572021
25642,1685156572023
25643,1685156572026
25646,1685156572032
25648,1685156572033
25650,1685156572034
25652,1685156572036
25654,1685156572039
25656,1685156572039
25658,1685156572041
25660,1685156572043
25662,1685156572047
25664,1685156572048
25666,1685156572049
25667,1685156572049
25670,1685156572050
25672,1685156572055
25674,1685156572059
25676,1685156572062
25678,1685156572066
25680,1685156572070
25682,1685156572072
25684,1685156572073
25686,1685156572075
25687,1685156572076
25690,1685156572078
25692,1685156572080
25694,1685156572080
25696,1685156572081
25698,1685156572083
25700,1685156572087
25702,1685156572088
25703,1685156572088
25706,1685156572089
25708,1685156572093
25710,1685156572097
25712,1685156572178
25714,1685156572179
25715,1685156572180
25718,1685156572185
25720,1685156572187
25722,1685156572192
25723,1685156572192
25726,1685156572194
25728,1685156572196
25730,1685156572197
25732,1685156572200
25734,1685156572204
25736,1685156572205
25738,1685156572209
25740,1685156572211
25742,1685156572217
25744,1685156572222
25746,1685156572226
25747,1685156572226
25750,1685156572230
25751,1685156572231
25754,1685156572233
25756,1685156572234
25758,1685156572237
25760,1685156572240
25762,1685156572244
25764,1685156572249
25766,1685156572250
25768,1685156572254
25770,1685156572257
25772,1685156572260
25774,1685156572261
25776,1685156572263
25778,1685156572265
25779,1685156572266
25782,1685156572266
25784,1685156572267
25786,1685156572267
25788,1685156572272
25790,1685156572273
25792,1685156572277
25794,1685156572285
25796,1685156572292
25798,1685156572293
25800,1685156572294
25802,1685156572296
25804,1685156572297
25806,1685156572299
25808,1685156572301
25810,1685156572302
25812,1685156572305
25813,1685156572305
25816,1685156572306
25818,1685156572312
25820,1685156572313
25822,1685156572321
25823,1685156572321
25824,1685156572321
25828,1685156572324
25830,1685156572326
25832,1685156572327
25834,1685156572328
25836,1685156572330
25838,1685156572333
25840,1685156572334
25842,1685156572338
25844,1685156572339
25846,1685156572340
25848,1685156572342
25850,1685156572344
25852,1685156572346
25854,1685156572354
25855,1685156572354
25858,1685156572358
25860,1685156572362
25862,1685156572363
25864,1685156572367
25866,1685156572370
25868,1685156572371
25870,1685156572374
25872,1685156572377
25874,1685156572381
25876,1685156572382
25877,1685156572383
25880,1685156572387
25882,1685156572388
25883,1685156572388
25886,1685156572389
25888,1685156572394
25890,1685156572395
25892,1685156572396
25894,1685156572399
25896,1685156572401
25898,1685156572402
25900,1685156572404
25902,1685156572406
25904,1685156572407
25906,1685156572408
25908,1685156572409
25910,1685156572414
25912,1685156572416
25914,1685156572417
25916,1685156572421
25918,1685156572422
25920,1685156572423
25922,1685156572426
25924,1685156572429
25926,1685156572429
25928,1685156572435
25930,1685156572436
25932,1685156572438
25934,1685156572442
25935,1685156572442
25937,1685156572442
25940,1685156572443
25942,1685156572444
25944,1685156572446
25946,1685156572447
25948,1685156572452
25950,1685156572456
25952,1685156572457
25953,1685156572457
25956,1685156572461
25958,1685156572462
25960,1685156572463
25962,1685156572463
25963,1685156572464
25966,1685156572471
25968,1685156572474
25969,1685156572474
25972,1685156572478
25974,1685156572494
25976,1685156572495
25978,1685156572497
25980,1685156572500
25982,1685156572500
25984,1685156572503
25986,1685156572506
25988,1685156572506
25989,1685156572507
25992,1685156572510
25994,1685156572512
25996,1685156572516
25997,1685156572517
26000,1685156572519
26002,1685156572522
26004,1685156572525
26006,1685156572528
26008,1685156572528
26010,1685156572531
26012,1685156572532
26014,1685156572534
26016,1685156572538
26018,1685156572542
26020,1685156572544
26022,1685156572546
26023,1685156572547
26026,1685156572547
26028,1685156572550
26030,1685156572551
26032,1685156572553
26034,1685156572555
26035,1685156572557
26037,1685156572559
26039,1685156572562
26041,1685156572563
26043,1685156572564
26044,1685156572565
26047,1685156572569
26049,1685156572570
26051,1685156572576
26053,1685156572577
26055,1685156572582
26056,1685156572582
26058,1685156572590
26060,1685156572591
26062,1685156572595
26063,1685156572595
26066,1685156572596
26067,1685156572596
26070,1685156572597
26072,1685156572598
26074,1685156572602
26076,1685156572607
26078,1685156572609
26080,1685156572610
26082,1685156572615
26084,1685156572619
26086,1685156572620
26088,1685156572625
26090,1685156572626
26092,1685156572627
26094,1685156572631
26096,1685156572634
26097,1685156572634
26100,1685156572637
26101,1685156572637
26103,1685156572647
26105,1685156572650
26107,1685156572653
26109,1685156572656
26111,1685156572659
26113,1685156572662
26114,1685156572662
26117,1685156572666
26119,1685156572668
26121,1685156572671
26122,1685156572671
26125,1685156572672
26126,1685156572672
26129,1685156572677
26131,1685156572679
26132,1685156572680
26135,1685156572681
26137,1685156572681
26139,1685156572684
26141,1685156572685
26143,1685156572687
26144,1685156572687
26146,1685156572688
26148,1685156572690
26150,1685156572695
26152,1685156572697
26154,1685156572697
26156,1685156572702
26158,1685156572703
26160,1685156572707
26162,1685156572709
26164,1685156572715
26166,1685156572715
26167,1685156572715
26169,1685156572716
26172,1685156572717
26174,1685156572722
26176,1685156572729
26178,1685156572731
26179,1685156572731
26182,1685156572739
26183,1685156572739
26185,1685156572743
26186,1685156572743
26189,1685156572747
26191,1685156572750
26192,1685156572750
26195,1685156572751
26197,1685156572752
26199,1685156572753
26201,1685156572754
26203,1685156572755
26205,1685156572755
26207,1685156572761
26209,1685156572771
26211,1685156572773
26213,1685156572780
26215,1685156572781
26216,1685156572782
26219,1685156572783
26221,1685156572784
26223,1685156572789
26225,1685156572790
26227,1685156572791
26229,1685156572793
26231,1685156572800
26233,1685156572802
26235,1685156572803
26237,1685156572805
26239,1685156572806
26241,1685156572808
26243,1685156572809
26245,1685156572810
26247,1685156572812
26249,1685156572816
26251,1685156572817
26253,1685156572819
26255,1685156572821
26257,1685156572822
26259,1685156572823
26261,1685156572824
26263,1685156572829
26265,1685156572832
26267,1685156572834
26269,1685156572835
26270,1685156572835
26273,1685156572837
26275,1685156572843
26277,1685156572848
26279,1685156572850
26281,1685156572852
26283,1685156572858
26285,1685156572859
26287,1685156572861
26288,1685156572861
26291,1685156572866
26293,1685156572868
26295,1685156572869
26297,1685156572870
26299,1685156572872
26301,1685156572890
26303,1685156572894
26305,1685156572896
26307,1685156572899
26309,1685156572900
26311,1685156572902
26313,1685156572908
26315,1685156572916
26316,1685156572916
26319,1685156572919
26321,1685156572920
26323,1685156572921
26325,1685156572922
26327,1685156572924
26329,1685156572934
26331,1685156572934
26333,1685156572935
26335,1685156572935
26337,1685156572941
26339,1685156572943
26341,1685156572944
26343,1685156572947
26345,1685156572947
26347,1685156572948
26349,1685156572954
26351,1685156572955
26353,1685156572956
26355,1685156572964
26357,1685156572970
26359,1685156572973
26361,1685156572976
26362,1685156572976
26365,1685156572978
26367,1685156572979
26369,1685156572983
26371,1685156572986
26373,1685156572989
26375,1685156572996
26377,1685156572999
26379,1685156573001
26381,1685156573001
26383,1685156573002
26385,1685156573002
26387,1685156573003
26389,1685156573005
26390,1685156573005
26393,1685156573009
26395,1685156573011
26397,1685156573012
26399,1685156573014
26401,1685156573015
26403,1685156573016
26405,1685156573016
26407,1685156573017
26409,1685156573018
26411,1685156573020
26413,1685156573021
26415,1685156573022
26417,1685156573026
26419,1685156573037
26421,1685156573038
26423,1685156573038
26425,1685156573040
26427,1685156573042
26429,1685156573043
26431,1685156573051
26433,1685156573053
26435,1685156573054
26437,1685156573058
26439,1685156573059
26440,1685156573059
26443,1685156573060
26444,1685156573060
26446,1685156573072
26447,1685156573072
26449,1685156573072
26452,1685156573073
26454,1685156573077
26456,1685156573079
26457,1685156573080
26460,1685156573081
26462,1685156573084
26464,1685156573088
26466,1685156573093
26467,1685156573093
26470,1685156573095
26472,1685156573100
26473,1685156573100
26476,1685156573111
26478,1685156573117
26480,1685156573119
26482,1685156573120
26484,1685156573129
26486,1685156573131
26488,1685156573133
26490,1685156573134
26492,1685156573135
26494,1685156573138
26496,1685156573139
26498,1685156573143
26500,1685156573144
26502,1685156573146
26504,1685156573147
26506,1685156573150
26507,1685156573151
26509,1685156573151
26512,1685156573152
26514,1685156573155
26516,1685156573155
26518,1685156573157
26519,1685156573157
26521,1685156573160
26523,1685156573164
26525,1685156573166
26527,1685156573167
26529,1685156573167
26531,1685156573175
26532,1685156573175
26535,1685156573179
26537,1685156573180
26539,1685156573185
26541,1685156573186
26543,1685156573187
26545,1685156573190
26547,1685156573193
26549,1685156573195
26551,1685156573198
26553,1685156573201
26555,1685156573202
26557,1685156573205
26559,1685156573206
26561,1685156573208
26563,1685156573210
26565,1685156573216
26567,1685156573220
26568,1685156573220
26569,1685156573220
26573,1685156573223
26575,1685156573227
26576,1685156573228
26579,1685156573230
26581,1685156573239
26583,1685156573241
26585,1685156573247
26587,1685156573250
26589,1685156573254
26590,1685156573254
26591,1685156573254
26595,1685156573259
26597,1685156573260
26599,1685156573261
26601,1685156573264
26602,1685156573264
26605,1685156573265
26607,1685156573270
26609,1685156573272
26611,1685156573273
26613,1685156573275
26615,1685156573276
26617,1685156573288
26618,1685156573288
26621,1685156573289
26623,1685156573291
26625,1685156573294
26627,1685156573297
26629,1685156573299
26631,1685156573301
26633,1685156573304
26635,1685156573306
26636,1685156573306
26639,1685156573310
26641,1685156573312
26643,1685156573314
26645,1685156573315
26647,1685156573316
26649,1685156573319
26651,1685156573320
26652,1685156573320
26655,1685156573322
26657,1685156573325
26659,1685156573326
26660,1685156573326
